Unnamed: 0,Time in ms,M0 in meter,MF231 in A
143,7.15,1.07880859375e-05,0.1
144,7.2,1.108447265625e-05,0.1
145,7.25,1.138623046875e-05,0.1
146,7.3,1.169384765625e-05,0.1
147,7.35,1.200732421875e-05,0.1
148,7.4,1.2326660156250005e-05,0.1
149,7.45,1.2651855468750005e-05,0.1
150,7.5,1.298291015625e-05,0.1
151,7.55,1.33203125e-05,0.1
152,7.6,1.3663574218750004e-05,0.1
153,7.65,1.401318359375e-05,0.1
154,7.7,1.4369140625e-05,0.1
155,7.75,1.47314453125e-05,0.1
156,7.8,1.5100097656250002e-05,0.1
157,7.85,1.5475097656250006e-05,0.1
158,7.9,1.58564453125e-05,0.1
159,7.95,1.6244628906250007e-05,0.1
160,8.0,1.663916015625e-05,0.1
161,8.05,1.7040527343750007e-05,0.1
162,8.1,1.744873046875e-05,0.1
163,8.15,1.7863769531250007e-05,0.1
164,8.2,1.828564453125e-05,0.1
165,8.25,1.8714355468750007e-05,0.1
166,8.3,1.914990234375e-05,0.1
167,8.35,1.95927734375e-05,0.1
168,8.4,2.0042968750000007e-05,0.1
169,8.45,2.0500000000000007e-05,0.1
170,8.5,2.0964355468750007e-05,0.1
171,8.55,2.143603515625e-05,0.1
172,8.6,2.1915039062500006e-05,0.1
173,8.65,2.24013671875e-05,0.1
174,8.7,2.289550781250001e-05,0.1
175,8.75,2.339697265625001e-05,0.1
176,8.8,2.390625e-05,0.1
177,8.85,2.442333984375001e-05,0.1
178,8.9,2.494775390625001e-05,0.1
179,8.95,2.547998046875001e-05,0.1
180,9.0,2.60205078125e-05,0.1
181,9.05,2.656884765625e-05,0.1
182,9.1,2.7125e-05,0.1
183,9.15,2.768945312500001e-05,0.1
184,9.2,2.826171875000001e-05,0.1
185,9.25,2.884228515625e-05,0.1
186,9.3,2.9431152343750004e-05,0.1
187,9.35,3.00283203125e-05,0.1
188,9.4,3.06337890625e-05,0.1
189,9.45,3.1248046875000005e-05,0.1
190,9.5,3.1870605468750005e-05,0.1
191,9.55,3.2501464843750005e-05,0.1
192,9.6,3.314111328125e-05,0.1
193,9.65,3.378955078125001e-05,0.1
194,9.7,3.444677734375001e-05,0.1
195,9.75,3.511279296875e-05,0.1
196,9.8,3.5787597656250005e-05,0.1
197,9.85,3.647119140625001e-05,0.1
198,9.9,3.716406250000001e-05,0.1
199,9.95,3.786572265625e-05,0.1
200,10.0,3.857666015625e-05,0.1
201,10.05,3.929687500000001e-05,0.1
202,10.1,4.00263671875e-05,0.1
203,10.15,4.076513671875e-05,0.1
204,10.2,4.151318359375001e-05,0.1
205,10.25,4.22705078125e-05,0.1
206,10.3,4.303759765625001e-05,0.1
207,10.35,4.381396484375e-05,0.1
208,10.4,4.460009765625e-05,0.1
209,10.45,4.539599609375001e-05,0.1
210,10.5,4.620166015625001e-05,0.1
211,10.55,4.701708984375002e-05,0.1
212,10.6,4.784228515625001e-05,0.1
213,10.65,4.8677734375000015e-05,0.1
214,10.7,4.952294921875001e-05,0.1
215,10.75,5.0378417968750015e-05,0.1
216,10.8,5.124365234375001e-05,0.1
217,10.85,5.211914062500002e-05,0.1
218,10.9,5.300439453125001e-05,0.1
219,10.95,5.390039062500002e-05,0.1
220,11.0,5.480615234375001e-05,0.1
221,11.05,5.572216796875001e-05,0.1
222,11.1,5.66484375e-05,0.1
223,11.15,5.758496093750001e-05,0.1
224,11.2,5.853173828125e-05,0.1
225,11.25,5.948876953125001e-05,0.1
226,11.3,6.045605468750001e-05,0.1
227,11.35,6.143359375e-05,0.1
228,11.4,6.242138671875e-05,0.1
229,11.45,6.341943359375001e-05,0.1
230,11.5,6.4427734375e-05,0.1
231,11.55,6.544580078125e-05,0.1
232,11.6,6.6474609375e-05,0.1
233,11.65,6.751318359375001e-05,0.1
234,11.7,6.856201171875e-05,0.1
235,11.75,6.962158203125001e-05,0.1
236,11.8,7.069091796875001e-05,0.1
237,11.85,7.17705078125e-05,0.1
238,11.9,7.286035156250001e-05,0.1
239,11.95,7.395996093750001e-05,0.1
240,12.0,7.507031250000001e-05,0.1
241,12.05,7.61904296875e-05,0.1
242,12.1,7.732128906250001e-05,0.1
243,12.15,7.846191406250001e-05,0.1
244,12.2,7.961279296875001e-05,0.1
245,12.25,8.077392578125001e-05,0.1
246,12.3,8.194531250000001e-05,0.1
247,12.35,8.312646484375003e-05,0.1
248,12.4,8.431835937500003e-05,0.1
249,12.45,8.552001953125001e-05,0.1
250,12.5,8.673193359375e-05,0.1
251,12.55,8.79541015625e-05,0.1
252,12.6,8.918603515625e-05,0.1
253,12.65,9.04287109375e-05,0.1
254,12.7,9.168115234375e-05,0.1
255,12.75,9.294384765625e-05,0.1
256,12.8,9.4216796875e-05,0.1
257,12.85,9.549951171875003e-05,0.1
258,12.9,9.679248046875e-05,0.1
259,12.95,9.8095703125e-05,0.1
260,13.0,9.94091796875e-05,0.1
261,13.05,0.000100732421875,0.1
262,13.1,0.0001020654296875,0.1
263,13.15,0.00010340869140625,0.1
264,13.2,0.00010476220703125,0.1
265,13.25,0.00010612548828125002,0.1
266,13.3,0.00010749853515625,0.1
267,13.35,0.0001088818359375,0.1
268,13.4,0.00011027490234375,0.1
269,13.45,0.000111677734375,0.1
270,13.5,0.00011309033203125002,0.1
271,13.55,0.00011451318359375002,0.1
272,13.6,0.0001159453125,0.1
273,13.65,0.00011738769531250002,0.1
274,13.7,0.00011883935546875,0.1
275,13.75,0.00012030126953125002,0.1
276,13.8,0.0001217724609375,0.1
277,13.85,0.00012325341796875,0.1
278,13.9,0.00012474414062500002,0.1
279,13.95,0.00012624462890625,0.1
280,14.0,0.00012775439453125,0.1
