Time in ms,M0 in meter
7.35	,	0.004930625000000050000000000000
7.4	,	0.004934560546875050000000000000
7.45	,	0.004938408203125050000000000000
7.5	,	0.004942167968750050000000000000
7.55	,	0.004945820312500050000000000000
7.6	,	0.004949375000000050000000000000
7.65	,	0.004952832031250050000000000000
7.7	,	0.004956181640625050000000000000
7.75	,	0.004959423828125050000000000000
7.8	,	0.004962548828125050000000000000
7.85	,	0.004965556640625050000000000000
7.9	,	0.004968457031250050000000000000
7.95	,	0.004971220703125050000000000000
8	,	0.004973867187500050000000000000
8.05	,	0.004976386718750050000000000000
8.1	,	0.004978769531250050000000000000
8.15	,	0.004981025390625050000000000000
8.2	,	0.004983134765625050000000000000
8.25	,	0.004985107421875050000000000000
8.3	,	0.004986933593750050000000000000
8.35	,	0.004988623046875050000000000000
8.4	,	0.004990175781250050000000000000
8.45	,	0.004991582031250050000000000000
8.5	,	0.004992861328125050000000000000
8.55	,	0.004994013671875050000000000000
8.6	,	0.004995039062500050000000000000
8.65	,	0.004995927734375050000000000000
8.7	,	0.004996708984375050000000000000
8.75	,	0.004997373046875050000000000000
8.8	,	0.004997929687500050000000000000
8.85	,	0.004998398437500050000000000000
8.9	,	0.004998779296875050000000000000
8.95	,	0.004999091796875050000000000000
9	,	0.004999345703125050000000000000
9.05	,	0.004999541015625050000000000000
9.1	,	0.004999687500000050000000000000
9.15	,	0.004999804687500050000000000000
9.2	,	0.004999882812500050000000000000
9.25	,	0.004999941406250050000000000000
9.3	,	0.004999970703125050000000000000
9.35	,	0.004999990234375050000000000000
9.4	,	0.005000000000000050000000000000
