Time in ms,M0 in meter
0	,	0.002200000000000020000000000000
0.05	,	0.002200000000000020000000000000
0.1	,	0.002200000000000020000000000000
0.15	,	0.002200000000000020000000000000
0.2	,	0.002200000000000020000000000000
0.25	,	0.002200000000000020000000000000
0.3	,	0.002200000000000020000000000000
0.35	,	0.002200117187500020000000000000
0.4	,	0.002200478515625020000000000000
0.45	,	0.002201210937500020000000000000
0.5	,	0.002202421875000020000000000000
0.55	,	0.002204248046875020000000000000
0.6	,	0.002206796875000020000000000000
0.65	,	0.002210195312500020000000000000
0.7	,	0.002214570312500020000000000000
0.75	,	0.002220009765625020000000000000
0.8	,	0.002226611328125020000000000000
0.85	,	0.002234462890625020000000000000
0.9	,	0.002243671875000020000000000000
0.95	,	0.002254316406250020000000000000
1	,	0.002266503906250020000000000000
1.05	,	0.002280322265625020000000000000
1.1	,	0.002295869140625020000000000000
1.15	,	0.002313037109375020000000000000
1.2	,	0.002331718750000020000000000000
1.25	,	0.002351796875000020000000000000
1.3	,	0.002373164062500020000000000000
1.35	,	0.002395712890625020000000000000
1.4	,	0.002419345703125020000000000000
1.45	,	0.002443935546875020000000000000
1.5	,	0.002469384765625020000000000000
1.55	,	0.002495605468750020000000000000
1.6	,	0.002522500000000020000000000000
1.65	,	0.002550000000000020000000000000
1.7	,	0.002578007812500020000000000000
1.75	,	0.002606445312500030000000000000
1.8	,	0.002635214843750030000000000000
1.85	,	0.002664228515625030000000000000
1.9	,	0.002693408203125030000000000000
1.95	,	0.002722744140625030000000000000
2	,	0.002752226562500030000000000000
2.05	,	0.002781845703125030000000000000
2.1	,	0.002811591796875030000000000000
2.15	,	0.002841445312500030000000000000
2.2	,	0.002871416015625030000000000000
2.25	,	0.002901484375000030000000000000
2.3	,	0.002931640625000030000000000000
2.35	,	0.002961884765625030000000000000
2.4	,	0.002992187500000030000000000000
2.45	,	0.003022558593750030000000000000
2.5	,	0.003052988281250030000000000000
2.55	,	0.003083457031250030000000000000
2.6	,	0.003113955078125030000000000000
2.65	,	0.003144482421875030000000000000
2.7	,	0.003175029296875030000000000000
2.75	,	0.003205576171875030000000000000
2.8	,	0.003236123046875030000000000000
2.85	,	0.003266660156250030000000000000
2.9	,	0.003297177734375030000000000000
2.95	,	0.003327656250000030000000000000
3	,	0.003358105468750030000000000000
3.05	,	0.003388496093750030000000000000
3.1	,	0.003418837890625030000000000000
3.15	,	0.003449101562500030000000000000
3.2	,	0.003479296875000030000000000000
3.25	,	0.003509404296875030000000000000
3.3	,	0.003539423828125030000000000000
3.35	,	0.003569326171875030000000000000
3.4	,	0.003599130859375030000000000000
3.45	,	0.003628798828125040000000000000
3.5	,	0.003658339843750040000000000000
3.55	,	0.003687744140625040000000000000
3.6	,	0.003716992187500040000000000000
3.65	,	0.003746083984375040000000000000
3.7	,	0.003775009765625040000000000000
3.75	,	0.003803750000000040000000000000
3.8	,	0.003832304687500040000000000000
3.85	,	0.003860673828125040000000000000
3.9	,	0.003888828125000040000000000000
3.95	,	0.003916767578125040000000000000
4	,	0.003944482421875040000000000000
4.05	,	0.003971962890625040000000000000
4.1	,	0.003999199218750040000000000000
4.15	,	0.004026191406250040000000000000
4.2	,	0.004052919921875040000000000000
4.25	,	0.004079375000000040000000000000
4.3	,	0.004105556640625040000000000000
4.35	,	0.004131445312500040000000000000
4.4	,	0.004157031250000040000000000000
4.45	,	0.004182314453125040000000000000
4.5	,	0.004207285156250040000000000000
4.55	,	0.004231923828125040000000000000
4.6	,	0.004256230468750040000000000000
4.65	,	0.004280195312500040000000000000
4.7	,	0.004303808593750040000000000000
4.75	,	0.004327050781250040000000000000
4.8	,	0.004349931640625040000000000000
4.85	,	0.004372421875000040000000000000
4.9	,	0.004394531250000040000000000000
4.95	,	0.004416230468750040000000000000
5	,	0.004437529296875040000000000000
5.05	,	0.004458408203125040000000000000
5.1	,	0.004478857421875040000000000000
5.15	,	0.004498867187500040000000000000
5.2	,	0.004518437500000040000000000000
5.25	,	0.004537548828125040000000000000
5.3	,	0.004556201171875040000000000000
5.35	,	0.004574375000000040000000000000
5.4	,	0.004592070312500050000000000000
5.45	,	0.004609277343750050000000000000
5.5	,	0.004625976562500050000000000000
5.55	,	0.004642167968750050000000000000
5.6	,	0.004657841796875050000000000000
5.65	,	0.004672978515625050000000000000
5.7	,	0.004687587890625050000000000000
5.75	,	0.004701640625000050000000000000
5.8	,	0.004715146484375050000000000000
5.85	,	0.004728076171875050000000000000
5.9	,	0.004740439453125050000000000000
5.95	,	0.004752236328125050000000000000
6	,	0.004763486328125050000000000000
6.05	,	0.004774179687500050000000000000
6.1	,	0.004784345703125050000000000000
6.15	,	0.004793994140625050000000000000
6.2	,	0.004803125000000050000000000000
6.25	,	0.004811757812500050000000000000
6.3	,	0.004819892578125050000000000000
6.35	,	0.004827578125000050000000000000
6.4	,	0.004834833984375050000000000000
6.45	,	0.004841708984375050000000000000
6.5	,	0.004848232421875050000000000000
6.55	,	0.004854433593750050000000000000
6.6	,	0.004860361328125050000000000000
6.65	,	0.004866035156250050000000000000
6.7	,	0.004871494140625050000000000000
6.75	,	0.004876767578125050000000000000
6.8	,	0.004881855468750050000000000000
6.85	,	0.004886787109375050000000000000
6.9	,	0.004891582031250050000000000000
6.95	,	0.004896250000000050000000000000
7	,	0.004900810546875050000000000000
7.05	,	0.004905292968750050000000000000
7.1	,	0.004909697265625050000000000000
7.15	,	0.004914042968750050000000000000
7.2	,	0.004918310546875050000000000000
7.25	,	0.004922490234375050000000000000
7.3	,	0.004926601562500050000000000000
