Time,M0,MF30
0.0,0.0,-0.25362268807366495
0.05,0.0,-0.2534062941558659
0.1,0.0,-0.25340367648750545
0.15,0.0,-0.2534808977041394
0.2,0.0,-0.2535749883390963
0.25,0.0,-0.2536593354307115
0.3,0.0,-0.25372516494244335
0.35,0.0,-0.2537717739818618
0.4,0.0,-0.2538018529303372
0.45,0.0,-0.2545710838632658
0.5,0.0,-0.25394912101328376
0.55,0.0,-0.25449519571848217
0.6,0.0,-0.2538029193878174
0.65,0.0,-0.2543479276355356
0.7,0.0,-0.25368175527546555
0.75,0.0,-0.2535077045671642
0.8,0.0,-0.2535023480420932
0.85,0.0,-0.2535615606699139
0.9,0.0,-0.25363609150517735
0.95,0.0,-0.2537047810619697
1.0,0.0,-0.2537602126132697
1.05,0.0,-0.25380139241460714
1.1,0.0,-0.2538299201522023
1.15,0.0,-0.2538256785599515
1.2,0.0,-0.25376421182882036
1.25,0.0,-0.2536211853381246
1.3,0.0,-0.253378954064101
1.35,4.882812500000001e-10,-0.25291317875962704
1.4,9.765625000000002e-10,-0.2515779982320965
1.45,1.4648437500000002e-09,-0.25149808663409207
1.5,1.9531250000000003e-09,-0.25086606515105814
1.55,2.44140625e-09,-0.24992811579722912
1.6,3.906250000000001e-09,-0.24850849122740332
1.65,4.8828125e-09,-0.2469607463339344
1.7,6.3476562500000004e-09,-0.24580254927277562
1.75,8.300781250000002e-09,-0.24364580868277702
1.8,1.0742187500000001e-08,-0.24164961841888724
1.85,1.3183593750000001e-08,-0.23943354401271788
1.9,1.611328125e-08,-0.2359721623593941
1.95,1.953125e-08,-0.23335354872979225
2.0,2.3437500000000004e-08,-0.22977005769498648
2.05,2.8320312500000003e-08,-0.2253952794475481
2.1,3.3203125000000006e-08,-0.22130502720829098
2.15,3.90625e-08,-0.21669453762006016
2.2,4.5410156250000005e-08,-0.21149320635013286
2.25,5.2246093750000006e-08,-0.206399756949395
2.3,5.9570312500000005e-08,-0.20153597159078346
2.35,6.835937500000001e-08,-0.1958599576726556
2.4,7.714843750000001e-08,-0.18946653296006846
2.45,8.740234375000001e-08,-0.18347757436567919
2.5,9.814453125000002e-08,-0.17690094922436403
2.55,1.0986328125000001e-07,-0.17002535242354497
2.6,1.2255859375000001e-07,-0.16290856656851246
2.65,1.3623046875000003e-07,-0.15476987207075582
2.7,1.5087890625000001e-07,-0.14693053703522307
2.75,1.66015625e-07,-0.13901819813763724
2.8,1.8261718750000002e-07,-0.13060893852962185
2.85,2.0068359375000003e-07,-0.12235597553662955
2.9,2.1923828125000004e-07,-0.11380308349616827
2.95,2.3925781250000005e-07,-0.10599529378814623
3.0,2.6074218750000004e-07,-0.0968507178069558
3.05,2.8320312500000005e-07,-0.08744979816838169
